"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"fc",1,"GO:0003723",3026,462,642,201,1.31032508699279,1.0997263270109,1.52092384697468,2.0506331674556,1.47568928872973,1.37271309528651e-32,2.72620820723901e-29,1,1,"26986, 5094, 6645, 10605, 1975, 1981, 3276, 5093, 2547, 3842, 23499, 3178, 3646, 23193, 4670, 7916, 7919, 6210, 10189, 1994, 3184, 142, 5034, 7316, 2194, 51631, 22938, 3315, 9584, 3190, 4904, 11051, 10399, 11100, 26135, 6136, 3921, 6230, 6421, 2521, 2804, 22927, 4841, 6189, 10155, 22985, 4673, 23435, 6204, 5478, 10949, 4857, 3191, 4869, 3183, 11052, 2130, 27316, 5725, 9513, 3066, 1973, 58155, 10432, 10659, 7178, 121504, 10492, 51637, 1965, 8125, 8661, 5052, 6597, 3181, 23020, 1655, 6201, 3182, 63893, 2288, 5901, 5591, 6146, 5339, 3069, 3326, 1786, 1982, 2332, 6426, 56252, 4691, 4736, 9667, 6232, 7295, 10250, 10521, 10923, 11168, 11333, 11198, 5962, 3188, 6733, 6428, 10594, 1660, 9444, 6434, 10075, 3185, 1974, 3192, 9601, 5479, 192669, 2193, 4204, 54726, 25940, 553115, 9782, 220988, 5814, 3187, 7458, 5610, 8087, 3608, 1665, 10056, 6231, 7184, 8359, 115207, 55269, 23451, 3009, 6147, 811, 6217, 6128, 6223, 3005, 3006, 3008, 3007, 6741, 1653, 27044, 22907, 6949, 10514, 6238, 115098, 6624, 51065, 8761, 51366, 3609, 6134, 1993, 9343, 7520, 1938, 5813, 23255, 23215, 64848, 9733, 311, 6233, 6634, 494115, 53981, 871, 6175, 51663, 54915, 9898, 7203, 9774, 6227, 84726, 5036, 8570, 8663, 23367, 9967, 9987, 8539, 51493, 9775, 4076, 6206, 6738, 90957, 6632, 54954"
"fc",1,"GO:0003677",3026,102,642,60,1.74896504036496,1.34432405375077,2.15360602697915,2.77258566978193,0.440504265292456,3.97993358272766e-17,3.95207404764856e-14,1,1,"351, 2547, 3178, 1642, 142, 10142, 3190, 4904, 1936, 6421, 213, 2521, 4841, 10155, 23435, 5725, 121504, 6597, 8349, 1786, 6232, 55636, 3014, 1108, 10250, 1660, 10075, 3192, 4204, 3608, 55506, 8341, 8359, 6418, 57599, 811, 6594, 6128, 1653, 8342, 23047, 50809, 85235, 3609, 1958, 7520, 161725, 51663, 24137, 9774, 57662, 9208, 8570, 57680, 9967, 9987, 9555, 5980, 6847, 92675"
"fc",1,"GO:0003729",3026,71,642,39,1.55892985562125,1.08295011861605,2.03490959262646,2.58904830854285,0.286327772440097,3.02728336405916e-10,2.00406158700717e-07,0.999999999938805,1,"26986, 5094, 1981, 5093, 4670, 10189, 1994, 51631, 3190, 11051, 10949, 4857, 3191, 11052, 27316, 5725, 1973, 58155, 8661, 3182, 3069, 1982, 2332, 6426, 1660, 9444, 6434, 4204, 5814, 6231, 23451, 811, 6741, 54915, 8570, 9775, 4076, 8562, 83939"
"fc",1,"GO:0030527",3026,16,642,15,4.04321913756803,2.01702918940891,6.06940908572715,4.41880841121495,0.110126066323114,8.98072315018521e-10,4.45892904406696e-07,0.999999999985477,1,"121504, 8349, 3014, 55506, 8341, 8359, 3009, 3024, 3005, 3006, 3008, 3007, 8342, 85235, 9555"
"fc",1,"GO:0031492",3026,15,642,14,3.9726326402458,1.94193589206832,6.00332938842329,4.39916926272066,0.10278432856824,4.04123032917562e-09,1.60517668674856e-06,0.999999999930255,1,"6601, 60, 3183, 3066, 6597, 1108, 3009, 3024, 3005, 3006, 3008, 3007, 6599, 9555"
"fc",1,"GO:0003730",3026,32,642,22,2.13106945749475,1.37834606342088,2.88379285156861,3.24045950155763,0.161518230607234,8.26481990628773e-09,2.73565538898124e-06,0.999999999077897,1,"26986, 3178, 1994, 26135, 2521, 23435, 4857, 3183, 9513, 10659, 3181, 1655, 6201, 2332, 10521, 3192, 220988, 8087, 5042, 8761, 1993, 23367"
"fc",1,"GO:0003682",3026,55,642,28,1.38151761895986,0.845450433354562,1.91758480456516,2.39954687057491,0.20556865713648,8.73912197078825e-07,0.000247941374771221,0.999999792615512,1,"3184, 142, 4297, 11051, 6421, 546, 2521, 4841, 10155, 4673, 4869, 27316, 3066, 5901, 11335, 2332, 55636, 1108, 3192, 4204, 6418, 1653, 22907, 64324, 10499, 22933, 25836, 57680"
"fc",1,"GO:1990841",3026,17,642,13,2.50937950630673,1.38526684196529,3.63349217064817,3.60436137071651,0.0954425908133655,1.6128549051362e-06,0.000400391230200063,0.999999881094618,1,"10155, 10919, 3066, 1655, 1786, 55636, 1660, 3192, 4204, 1958, 25836, 64743, 9555"
"fc",1,"GO:0003690",3026,22,642,15,2.09478797877417,1.19331708338616,2.99625887416218,3.21367884451997,0.110126066323114,2.60978671284652e-06,0.000575892934634798,0.999999706125272,1,"2547, 4904, 23435, 5591, 1660, 3192, 57599, 3009, 3024, 3005, 3006, 3008, 3007, 7520, 6847"
"fc",1,"GO:0031490",3026,18,642,13,2.28581569862995,1.25065872472765,3.32097267253226,3.40411907234337,0.0954425908133655,4.68515788014935e-06,0.00093047235499766,0.999999568800085,1,"546, 1660, 3192, 4204, 55506, 3009, 3024, 3005, 3006, 3008, 3007, 8473, 9555"
"fc",1,"GO:0004842",3026,35,642,19,1.5071047341431,0.836226158604772,2.17798330968143,2.55870048954161,0.139493017342611,1.60211142819362e-05,0.00287709544879741,0.999996719227426,1,"11059, 10155, 54880, 9040, 8065, 63893, 23321, 4008, 27339, 7267, 57448, 10075, 55521, 7187, 8453, 23352, 10296, 8452, 9978"
"fc",1,"GO:0000978",3026,27,642,16,1.70725333477708,0.934536061832781,2.47997060772137,2.79312334140995,0.117467804077988,1.73842625304979e-05,0.00287709544879741,0.999997114381034,1,"351, 23435, 27316, 23090, 55636, 58525, 10923, 1660, 3192, 6301, 64324, 10499, 1958, 23269, 9208, 9967"
"fc",1,"GO:0004386",3026,15,642,11,2.33915081580279,1.19139709858466,3.48690453302091,3.45649013499481,0.080759115303617,2.13693442816439e-05,0.00326457828794959,0.999998165005542,1,"546, 1973, 6597, 23020, 55636, 1108, 1974, 1665, 6594, 64848, 90957"
"fc",1,"GO:0003712",3026,13,642,10,2.53035925666594,1.2371519051259,3.82356660820598,3.62568895279176,0.0734173775487427,2.65502447772397e-05,0.00351525240850654,0.999998133438664,1,"55729, 2521, 2130, 7158, 1660, 1653, 27044, 64324, 9774, 9967"
"fc",1,"GO:0140693",3026,13,642,10,2.53035925666594,1.2371519051259,3.82356660820598,3.62568895279176,0.0734173775487427,2.65502447772397e-05,0.00351525240850654,0.999998133438664,1,"3178, 2521, 23435, 4869, 3181, 2332, 4204, 29978, 8087, 4076"
